2026-02-02 16:18:55,728 | WARNING | src.preprocessor | Spacy model 'en_core_web_sm' not found. Install with: python -m spacy download en_core_web_sm
2026-02-02 16:19:09,885 | INFO | src.preprocessor | Saved 10000 processed patents to: C:\Workspaces\SKN22-3rd-2Team\src\data\processed\processed_patents_10k.json
2026-02-02 16:21:44,803 | INFO | src.embedder | OpenAI Embedder initialized with model: text-embedding-3-small
2026-02-02 16:21:45,962 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:46,924 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:47,939 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:48,622 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:50,505 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:51,604 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:52,620 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:53,330 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:53,997 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:55,207 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:55,949 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:56,926 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:57,989 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:58,616 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:59,245 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:21:59,830 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:00,925 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:01,880 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:02,827 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:04,107 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:05,024 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:05,811 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:07,508 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:08,116 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:09,148 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:11,017 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:11,757 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:12,504 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:13,505 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:14,189 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:15,120 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:15,764 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:16,831 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:17,477 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:18,174 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:19,181 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:19,917 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:20,639 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:21,878 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:22,816 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:23,474 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:24,180 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:25,118 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:26,711 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:27,412 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:28,488 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:29,167 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:30,134 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:31,374 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:32,390 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:33,138 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:35,948 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:36,821 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:37,789 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:38,504 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:39,479 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:40,100 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:40,650 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:41,282 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:42,313 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:42,996 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:43,330 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:43,330 | INFO | openai._base_client | Retrying request to /embeddings in 1.032000 seconds
2026-02-02 16:22:44,554 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:44,554 | INFO | openai._base_client | Retrying request to /embeddings in 1.673000 seconds
2026-02-02 16:22:46,898 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:47,814 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:48,162 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:48,162 | INFO | openai._base_client | Retrying request to /embeddings in 1.867000 seconds
2026-02-02 16:22:50,526 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:50,858 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:50,858 | INFO | openai._base_client | Retrying request to /embeddings in 1.397000 seconds
2026-02-02 16:22:52,823 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:53,156 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:53,156 | INFO | openai._base_client | Retrying request to /embeddings in 1.362000 seconds
2026-02-02 16:22:55,194 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:55,778 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:55,778 | INFO | openai._base_client | Retrying request to /embeddings in 0.569000 seconds
2026-02-02 16:22:57,180 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:22:57,528 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:22:57,530 | INFO | openai._base_client | Retrying request to /embeddings in 1.447000 seconds
2026-02-02 16:22:59,812 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:00,169 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:00,169 | INFO | openai._base_client | Retrying request to /embeddings in 1.546000 seconds
2026-02-02 16:23:02,898 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:03,249 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:03,249 | INFO | openai._base_client | Retrying request to /embeddings in 0.303000 seconds
2026-02-02 16:23:03,986 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:04,322 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:04,322 | INFO | openai._base_client | Retrying request to /embeddings in 1.192000 seconds
2026-02-02 16:23:06,090 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:07,428 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:07,779 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:07,779 | INFO | openai._base_client | Retrying request to /embeddings in 1.734000 seconds
2026-02-02 16:23:10,066 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:10,443 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:10,449 | INFO | openai._base_client | Retrying request to /embeddings in 1.312000 seconds
2026-02-02 16:23:12,808 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:13,169 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:13,169 | INFO | openai._base_client | Retrying request to /embeddings in 0.572000 seconds
2026-02-02 16:23:14,611 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:15,638 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:15,957 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:15,957 | INFO | openai._base_client | Retrying request to /embeddings in 2.236000 seconds
2026-02-02 16:23:19,125 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:19,614 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:19,614 | INFO | openai._base_client | Retrying request to /embeddings in 0.947000 seconds
2026-02-02 16:23:21,383 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:21,719 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:21,719 | INFO | openai._base_client | Retrying request to /embeddings in 0.868000 seconds
2026-02-02 16:23:23,259 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:23,611 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:23,612 | INFO | openai._base_client | Retrying request to /embeddings in 1.066000 seconds
2026-02-02 16:23:26,285 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:26,620 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:26,621 | INFO | openai._base_client | Retrying request to /embeddings in 0.004000 seconds
2026-02-02 16:23:27,385 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:28,480 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:28,829 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:28,832 | INFO | openai._base_client | Retrying request to /embeddings in 1.430000 seconds
2026-02-02 16:23:30,860 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:31,560 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:31,919 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:31,920 | INFO | openai._base_client | Retrying request to /embeddings in 0.787000 seconds
2026-02-02 16:23:32,908 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:32,910 | INFO | openai._base_client | Retrying request to /embeddings in 1.680000 seconds
2026-02-02 16:23:35,500 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:35,829 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:35,843 | INFO | openai._base_client | Retrying request to /embeddings in 0.801000 seconds
2026-02-02 16:23:37,309 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:37,659 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:37,659 | INFO | openai._base_client | Retrying request to /embeddings in 1.526000 seconds
2026-02-02 16:23:39,759 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:40,088 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:40,088 | INFO | openai._base_client | Retrying request to /embeddings in 1.614000 seconds
2026-02-02 16:23:42,557 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:42,885 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:42,885 | INFO | openai._base_client | Retrying request to /embeddings in 1.543000 seconds
2026-02-02 16:23:45,787 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:46,136 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:46,136 | INFO | openai._base_client | Retrying request to /embeddings in 0.893000 seconds
2026-02-02 16:23:48,371 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:48,718 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:48,718 | INFO | openai._base_client | Retrying request to /embeddings in 0.368000 seconds
2026-02-02 16:23:49,925 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:50,283 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:50,286 | INFO | openai._base_client | Retrying request to /embeddings in 0.844000 seconds
2026-02-02 16:23:52,101 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:52,431 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:52,431 | INFO | openai._base_client | Retrying request to /embeddings in 0.522000 seconds
2026-02-02 16:23:53,780 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:54,765 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:55,113 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:55,113 | INFO | openai._base_client | Retrying request to /embeddings in 1.373000 seconds
2026-02-02 16:23:57,380 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:57,726 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:57,727 | INFO | openai._base_client | Retrying request to /embeddings in 0.922000 seconds
2026-02-02 16:23:59,560 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:23:59,880 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:23:59,880 | INFO | openai._base_client | Retrying request to /embeddings in 0.796000 seconds
2026-02-02 16:24:01,501 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:01,859 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:01,859 | INFO | openai._base_client | Retrying request to /embeddings in 1.425000 seconds
2026-02-02 16:24:03,898 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:04,962 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:05,289 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:05,289 | INFO | openai._base_client | Retrying request to /embeddings in 2.554000 seconds
2026-02-02 16:24:08,053 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:08,053 | INFO | openai._base_client | Retrying request to /embeddings in 0.454000 seconds
2026-02-02 16:24:09,401 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:09,817 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:09,817 | INFO | openai._base_client | Retrying request to /embeddings in 1.008000 seconds
2026-02-02 16:24:11,784 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:12,116 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:12,116 | INFO | openai._base_client | Retrying request to /embeddings in 0.521000 seconds
2026-02-02 16:24:13,131 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:13,483 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:13,483 | INFO | openai._base_client | Retrying request to /embeddings in 1.016000 seconds
2026-02-02 16:24:14,965 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:15,315 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:15,315 | INFO | openai._base_client | Retrying request to /embeddings in 1.027000 seconds
2026-02-02 16:24:17,079 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:17,430 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:17,430 | INFO | openai._base_client | Retrying request to /embeddings in 0.737000 seconds
2026-02-02 16:24:18,743 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:19,079 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:19,079 | INFO | openai._base_client | Retrying request to /embeddings in 0.958000 seconds
2026-02-02 16:24:20,441 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:20,794 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:20,794 | INFO | openai._base_client | Retrying request to /embeddings in 1.358000 seconds
2026-02-02 16:24:23,148 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:23,492 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:23,492 | INFO | openai._base_client | Retrying request to /embeddings in 1.215000 seconds
2026-02-02 16:24:25,139 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:25,461 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:25,461 | INFO | openai._base_client | Retrying request to /embeddings in 1.463000 seconds
2026-02-02 16:24:27,754 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:28,205 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:28,205 | INFO | openai._base_client | Retrying request to /embeddings in 0.866000 seconds
2026-02-02 16:24:30,010 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-02 16:24:30,370 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-02-02 16:24:30,370 | INFO | openai._base_client | Retrying request to /embeddings in 0.977000 seconds
